AudioTime[s]	MeasId	WavId	Sensor 1 Id	Sensor 1 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 3 Id	Sensor 3 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 4 Id	Sensor 4 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 5 Id	Sensor 5 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 6 Id	Sensor 6 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 7 Id	Sensor 7 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 8 Id	Sensor 8 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 9 Id	Sensor 9 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 10 Id	Sensor 10 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 11 Id	Sensor 11 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 12 Id	Sensor 12 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz Sensor 13 Id	Sensor 13 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 14 Id	Sensor 14 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 15 Id	Sensor 15 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz	Sensor 16 Id	Sensor 16 Status	X[mm]	Y[mm]	Z[mm]	Q0	Qx	Qy	Qz
0.4585	42	10110	0	55	62.167755	35.703793	-122.528550	0.993393	0.036966	-0.004152	0.108564	2	55	-68.250969	17.052937	-0.908920	0.267897	-0.817241	0.510243	0.000000	3	55	-70.857269	-9.033166	-1.131249	0.639499	-0.096474	-0.762715	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	119								11	119								12	311								13	311								14	311								15	311							
0.4685	43	10331	0	55	62.166965	35.710472	-122.519680	0.993383	0.037078	-0.004135	0.108621	2	55	-68.256142	17.040968	-0.921959	0.267712	-0.817114	0.510545	0.000000	3	55	-70.863220	-9.033394	-1.140183	0.639500	-0.096510	-0.762709	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	119								12	311								13	311								14	311								15	311							
0.4785	44	10551	0	55	62.165245	35.707813	-122.519820	0.993380	0.037116	-0.004123	0.108641	2	55	-68.257751	17.056034	-0.920609	0.267725	-0.817163	0.510458	0.000000	3	55	-70.865219	-9.028526	-1.142067	0.639503	-0.096504	-0.762708	0.000000	4	119								5	119								6	55								7	311								8	311								9	311								10	55								11	119								12	311								13	311								14	311								15	311							
0.4885	45	10771	0	55	62.166462	35.710346	-122.518820	0.993379	0.037125	-0.004128	0.108637	2	55	-68.255081	17.076586	-0.912300	0.267890	-0.817279	0.510187	0.000000	3	55	-70.867531	-9.035630	-1.150192	0.639511	-0.096485	-0.762703	0.000000	4	119								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.4985	46	10991	0	55	62.165131	35.716595	-122.511080	0.993374	0.037209	-0.004117	0.108659	2	55	-68.236488	17.083342	-0.921104	0.267937	-0.817055	0.510521	0.000000	3	55	-70.864433	-9.037354	-1.153709	0.639487	-0.096490	-0.762723	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.5085	47	11212	0	55	62.157482	35.715687	-122.511090	0.993373	0.037216	-0.004077	0.108665	2	55	-68.229218	17.083138	-0.933456	0.267961	-0.816992	0.510608	0.000000	3	55	-70.857445	-9.034894	-1.160843	0.639455	-0.096502	-0.762749	0.000000	4	119								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.5185	48	11432	0	55	62.147392	35.715561	-122.511840	0.993370	0.037248	-0.004035	0.108679	2	55	-68.196259	17.067745	-0.947792	0.267938	-0.816620	0.511216	0.000000	3	55	-70.849388	-9.033144	-1.160019	0.639426	-0.096544	-0.762767	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.5284	49	11652	0	55	62.145920	35.715263	-122.506360	0.993369	0.037252	-0.004023	0.108692	2	55	-68.200012	17.068996	-0.957962	0.267908	-0.816638	0.511202	0.000000	3	55	-70.855499	-9.033633	-1.167236	0.639447	-0.096525	-0.762752	0.000000	4	119								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.5385	50	11873	0	55	62.149105	35.712967	-122.496740	0.993367	0.037290	-0.004038	0.108693	2	55	-68.224518	17.061478	-0.966415	0.267754	-0.816755	0.511096	0.000000	3	55	-70.865433	-9.036877	-1.174599	0.639488	-0.096500	-0.762721	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
0.5484	51	12093	0	55	62.145638	35.710667	-122.496690	0.993366	0.037291	-0.004023	0.108703	2	55	-68.212410	17.072851	-0.974289	0.267848	-0.816688	0.511154	0.000000	3	55	-70.864296	-9.036780	-1.178825	0.639487	-0.096501	-0.762721	0.000000	4	55								5	119								6	55								7	311								8	311								9	311								10	55								11	55								12	311								13	311								14	311								15	311							
